代碼,商品,均價
1101,台泥,35.34
1102,亞泥,39.09
1103,嘉泥,19.11
1104,環泥,28.72
1108,幸福,16.25
1109,信大,18.08
1110,東泥,18.65
1201,味全,19.09
1203,味王,41.28
1210,大成,55.02
1213,大飲,--
1215,卜蜂,96.17
1216,統一,72.35
1217,愛之味,12.98
1218,泰山,24.65
1219,福壽,19.98
1220,台榮,14.08
1225,福懋油,55.36
1227,佳格,38.25
1229,聯華,59.82
1231,聯華食,86.02
1232,大統益,144.21
1233,天仁,36.13
1234,黑松,38.69
1235,興泰,82.65
1236,宏亞,22.34
1256,鮮活果汁-KY,271.4
1702,南僑,47.35
1737,臺鹽,34.17
3054,立萬利,19.8
1264,德麥,286.13
1796,金穎生技,97.81
4205,中華食,102.85
4207,環泰,18.81
4712,南璋,3.63
6846,綠茵,83.23
1301,台塑,80.11
1303,南亞,66.56
1304,台聚,20.93
1305,華夏,23.9
1307,三芳,23.54
1308,亞聚,23.7
1309,台達化,17.46
1310,台苯,15.28
1312,國喬,16.85
1313,聯成,15.35
1314,中石化,9.25
1315,達新,72.28
1321,大洋,34.3
1323,永裕,31.65
1324,地球,11.72
1325,恆大,22.53
1326,台化,61.81
1337,再生-KY,7.42
1340,勝悅-KY,12.33
1341,富林-KY,67.07
4306,炎洲,14.58
4303,信立,18.75
4304,勝昱,8.13
4305,世坤,31.65
9950,萬國通,19.49
1402,遠東新,28.73
1409,新纖,16.4
1410,南染,37.47
1413,宏洲,8.5
1414,東和,17.43
1417,嘉裕,13.08
1418,東華,21.62
1419,新紡,43.53
1423,利華,23.6
1434,福懋,25.61
1440,南紡,14.82
1441,大東,7.64
1444,力麗,10.07
1445,大宇,19.81
1446,宏和,37.73
1447,力鵬,7.58
1449,佳和,17.38
1451,年興,19.08
1452,宏益,16.19
1454,台富,17.6
1455,集盛,9.49
1457,宜進,17.31
1459,聯發,9.3
1460,宏遠,7.7
1463,強盛,14.93
1464,得力,14.74
1465,偉全,13.47
1466,聚隆,11.07
1467,南緯,12.27
1468,昶和,12.62
1470,大統新創,20.05
1473,台南,23.98
1474,弘裕,11.96
1475,業旺,51.63
1476,儒鴻,486.81
1477,聚陽,300.17
4414,如興,3.96
4426,利勤,19.81
4438,廣越,117.77
4439,冠星-KY,132.75
4440,宜新實業,28.04
4401,東隆興,21.09
4402,福大,9.7
4406,新昕纖,--
4413,飛寶企業,15.8
4417,金洲,39.41
4419,元勝,28.42
4420,光明,30.15
4432,銘旺實,24.15
4433,興采,28.94
6506,雙邦,17.71
1503,士電,128.1
1504,東元,51.91
1506,正道,17.13
1513,中興電,113.7
1514,亞力,57.07
1515,力山,37.3
1517,利奇,15.95
1519,華城,235.83
1526,日馳,35.16
1527,鑽全,40.88
1528,恩德,12.61
1529,樂事綠能,36.58
1530,亞崴,30.14
1531,高林股,14.17
1532,勤美,36.82
1535,中宇,53.08
1537,廣隆,143.06
1538,正峰,--
1539,巨庭,28.77
1540,喬福,18.44
1541,錩泰,32.22
1558,伸興,99.94
1560,中砂,125.99
1583,程泰,63.14
1589,永冠-KY,56.57
1590,亞德客-KY,902.12
1597,直得,66.59
2049,上銀,196.9
2371,大同,51.5
3167,大量,38.28
4526,東台,17.61
4532,瑞智,21.04
4540,全球傳動,33.05
4552,力達-KY,32.34
4555,氣立,51.89
4560,強信-KY,35.67
4562,穎漢,15.43
4564,元翎,23.88
4566,時碩工業,51.34
4571,鈞興-KY,72.18
4572,駐龍,192.05
4576,大銀微系統,67.94
4583,台灣精銳,221.08
5288,豐祥-KY,173.32
6606,建德工業,23.91
8222,寶一,43.64
8374,羅昇,29.55
8996,高力,314.86
1570,力肯,19.93
1580,新麥,125.94
1586,和勤,31.3
1591,駿吉-KY,41.33
1599,宏佳騰,35.67
2066,世德,84.78
2067,嘉鋼,13.17
2070,精湛,30.14
2230,泰茂,96.12
2235,謚源,43.11
3162,精確,50.12
3226,至寶電,60.85
3379,彬台,12.27
3426,台興,--
3685,元創精密,23.34
4502,健信,36.76
4503,金雨,60.3
4506,崇友,79.91
4510,高鋒,16.41
4513,福裕,19.35
4523,永彰,46.85
4527,方土霖,34.16
4528,江興鍛,32.51
4533,協易機,27.48
4534,慶騰,10
4535,至興,37.69
4538,大詠城,19.58
4543,萬在,42.2
4549,桓達,96.1
4550,長佳,30.11
4558,寶緯,28.04
4561,健椿,27.17
4563,百德,57.19
4568,科際精密,54.48
4580,捷流閥業,91.59
4584,君帆,44.63
6122,擎邦,45.94
6425,易發,20.69
6603,富強鑫,16.09
6609,瀧澤科,31.34
6829,千附精密,127.06
6843,進典,68.03
8027,鈦昇,72.48
8083,瑞穎,146.66
8107,大億金茂,16.08
8255,朋程,167.14
9951,皇田,78.2
1603,華電,37.28
1604,聲寶,27.4
1605,華新,36.56
1608,華榮,20.28
1609,大亞,36.42
1611,中電,17.07
1612,宏泰,23.97
1614,三洋電,38.89
1615,大山,39.92
1616,億泰,10.87
1617,榮星,16.35
1618,合機,25.27
1626,艾美特-KY,17.43
4930,燦星網,24.87
5283,禾聯碩,113.39
2061,風青,16.17
1708,東鹼,33.12
1709,和益,23.96
1710,東聯,19.95
1711,永光,19.25
1712,興農,35.58
1713,國化,31.97
1714,和桐,8.44
1717,長興,28.58
1718,中纖,7.86
1721,三晃,13.28
1722,台肥,62.53
1723,中碳,108.84
1725,元禎,20.08
1726,永記,73.03
1727,中華化,28.95
1730,花仙子,57.83
1732,毛寶,25.03
1735,日勝化,16.48
1773,勝一,127.42
1776,展宇,16.69
4720,德淵,14.27
4722,國精化,34.73
4739,康普,74.63
4755,三福化,132.49
4763,材料-KY,802.76
4764,雙鍵,45.73
4766,南寶,186.11
4770,上品,280.54
1742,台蠟,16.89
3430,奇鈦科,46.13
4706,大恭,21.4
4707,磐亞,13.25
4711,永純,15.18
4714,永捷,12.53
4716,大立,12.91
4721,美琪瑪,78.93
4741,泓瀚,34.79
4754,國碳科,48.93
4767,誠泰科技,28.6
4768,晶呈科技,176.15
6509,聚和,37
1701,中化,23.43
1707,葡萄王,157.51
1720,生達,64.48
1731,美吾華,20.63
1733,五鼎,26.15
1734,杏輝,32.85
1752,南光,54.79
1760,寶齡富錦,101.69
1762,中化生,64.01
1783,和康生,57.27
1786,科妍,80.81
1789,神隆,27.58
1795,美時,258.12
3164,景岳,23.2
3705,永信,43.3
4104,佳醫,91.63
4106,雃博,28.02
4108,懷特,19.95
4119,旭富,100.81
4133,亞諾法,31.96
4137,麗豐-KY,185.99
4142,國光生,32.75
4148,全宇生技-KY,49.47
4155,訊映,33.14
4164,承業醫,53.57
4190,佐登-KY,69.15
4737,華廣,72.55
4746,台耀,90.05
6431,光麗-KY,18.36
6491,晶碩,341.91
6541,泰福-KY,67.41
6550,北極星藥業-KY,85.53
6598,ABC-KY,24
6657,華安,65.53
6666,羅麗芬-KY,70.74
6782,視陽,158.05
6796,晉弘,114.59
6861,睿生光電,100.71
1565,精華,195.75
1777,生泰,86.56
1781,合世,12.78
1784,訊聯,68.62
1788,杏昌,139.44
1799,易威,--
1813,寶利徠,19.04
3118,進階,30.22
3176,基亞,30.95
3205,佰研,44.52
3218,大學光,377.22
4102,永日,30.96
4105,東洋,74.96
4107,邦特,110
4109,加捷生醫,13.57
4111,濟生,27.34
4114,健喬,35.82
4116,明基醫,57.44
4120,友華,36.48
4121,優盛,23.84
4123,晟德,50.57
4126,太醫,80.37
4127,天良,13.75
4128,中天,48.8
4129,聯合,68.04
4130,健亞,26.64
4131,晶宇,23.42
4138,曜亞,115.77
4139,馬光-KY,40.12
4147,中裕,102.67
4153,鈺緯,36.55
4157,太景*-KY,15.02
4160,創源,48.9
4161,聿新科,37.07
4162,智擎,85.57
4163,鐿鈦,116.26
4167,松瑞藥,17.44
4168,醣聯,28.26
4173,久裕,22.67
4174,浩鼎,84.86
4175,杏一,90.23
4183,福永生技,19.82
4188,安克,20.97
4192,杏國,--
4198,欣大健康,24.08
4726,永昕,39.04
4728,雙美,194.68
4735,豪展,37.51
4736,泰博,171.25
4743,合一,185.29
4744,皇將,29.65
4745,合富-KY,26
4747,強生,100.55
4911,德英,62.45
5312,寶島科,79.32
6130,星寶國際,32.47
6242,立康,57.07
6446,藥華藥,326.87
6461,益得,29.5
6469,大樹,350.11
6472,保瑞,729.81
6492,生華科,43.1
6496,科懋,29.42
6499,益安,51.22
6523,達爾膚,129.44
6527,明達醫,87.49
6535,順藥,59.08
6547,高端疫苗,61.87
6569,醫揚,180.39
6574,霈方,56
6576,逸達,78.81
6589,台康生技,94.28
6612,奈米醫材,132.82
6615,慧智,40.22
6649,台生材,34.16
6661,威健生技,23.2
6662,樂斯科,31.39
6703,軒郁,250.82
6712,長聖,189
6733,博晟生醫,36.49
6747,亨泰光,200.39
6762,達亞,264.33
6767,台微醫,41.19
6841,長佳智能,100.89
8279,生展,166.38
8403,盛弘,35.42
8409,商之器,27.02
8432,東生華,45.6
8436,大江,159.95
1802,台玻,19.23
1806,冠軍,9.25
1809,中釉,14
1810,和成,19.54
1817,凱撒衛,36.21
1903,士紙,55.39
1904,正隆,28.43
1905,華紙,24
1906,寶隆,15.69
1907,永豐餘,30.23
1909,榮成,14.76
6790,永豐實,38.35
2002,中鋼,27.12
2006,東和鋼鐵,59.58
2007,燁興,9.64
2008,高興昌,19.8
2009,第一銅,30.44
2010,春源,17.04
2012,春雨,24.38
2013,中鋼構,55.28
2014,中鴻,23.19
2015,豐興,67.62
2017,官田鋼,14.37
